method	actual_sparsity	metric	score
wanda	0.000000	PPL	6.4934
wanda	0.000000	inst_ASR_basic	0.0000
wanda	0.000000	inst_ASR_basic_nosys	0.0000
wanda	0.000000	inst_ASR_multiple_nosys	0.0000
wanda	0.000000	no_inst_ASR_basic	0.0400
wanda	0.000000	no_inst_ASR_basic_nosys	0.1600
wanda	0.000000	no_inst_ASR_multiple_nosys	0.2740
wanda	0.000000	ASR_gcg	0.0900
wanda	0.000000	winogrande	0.6600
wanda	0.000000	boolq	0.8000
wanda	0.000000	rte	0.7100
wanda	0.000000	arc_challenge	0.4350
wanda	0.000000	hellaswag	0.5650
wanda	0.000000	openbookqa	0.3250
wanda	0.000000	averaged	0.5825
